;;;
;Остатки на складах АСТАРИ;;на 25.04.2024
;PTD206T-Y;Мотопомпа дизельная Daishin PTD206T-Y;наличие уточняйте
;PTD306-Y;Мотопомпа дизельная Daishin PTD306-Y;наличие уточняйте
;PTD306ST-Y;Мотопомпа дизельная Daishin PTD306ST-Y;наличие уточняйте
;PTD306T-Y;Мотопомпа дизельная Daishin PTD306T-Y;наличие уточняйте
;PTD406-Y;Мотопомпа дизельная Daishin PTD406-Y;наличие уточняйте
;PTD406ST-Y;Мотопомпа дизельная Daishin PTD406ST-Y;наличие уточняйте
;PTD406T-Y;Мотопомпа дизельная Daishin PTD406T-Y;наличие уточняйте
;SCR-100YD;Мотопомпа дизельная Daishin SCR-100 YD;наличие уточняйте
;SCR-50YD;Мотопомпа дизельная Daishin SCR-50 YD;наличие уточняйте
;SCR-80YD;Мотопомпа дизельная Daishin SCR-80 YD;наличие уточняйте
;SST-100YD;Мотопомпа дизельная Daishin SST-100 YD;наличие уточняйте
;SST-50YD;Мотопомпа дизельная Daishin SST-50 YD;наличие уточняйте
;SST-80YD;Мотопомпа дизельная Daishin SST-80 YD;наличие уточняйте
;SWT-100YD;Мотопомпа дизельная Daishin SWT-100 YD;наличие уточняйте
;SWT-50YD;Мотопомпа дизельная Daishin SWT-50 YD;наличие уточняйте
;SWT-80YD;Мотопомпа дизельная Daishin SWT-80 YD;наличие уточняйте
;Генераторы HND (КНР);;
;GE1100Ji;Генератор бензиновый инверторный HND GE 1100 J i;++
;GE2200Ji;Генератор бензиновый инверторный HND GE 2200 J   i;++
;GE2200PL;Генератор бензиновый HND GE 2200 PL;++
;GE3000PL;Генератор бензиновый HND GE 3000 PL;наличие уточняйте
;GE3000PN;Генератор бензиновый HND GE 3000 PN;++
;GE5500XL;Генератор бензиновый HND GE 5500 XL;наличие уточняйте
;GE5500XN;Генератор бензиновый HND GE 5500 XN;наличие уточняйте
;GE5500XNS;Генератор бензиновый HND GE 5500 XNS;++
;GE7000XNST;Генератор бензиновый HND GE 7000 XNST;++
;GE11000XLS;Генератор бензиновый HND GE 11000 XLS;наличие уточняйте
;GE11000XLST;Генератор бензиновый HND GE 11000 XLST;наличие уточняйте
;GE12000XLS;Генератор бензиновый HND GE 12000 XLS;+
;GE12000XLST;Генератор бензиновый HND GE 12000 XLST;+
;Мотопомпы HND (КНР);;наличие уточняйте
;WP10XC;Мотопомпа бензиновая HND WP 10 XC;+
;WP20PC;Мотопомпа бензиновая HND WP 20 PC;+
;WP20XC;Мотопомпа бензиновая HND WP 20 XC;++
;WP30PC;Мотопомпа бензиновая HND WP 30 PC;наличие уточняйте
;WP30XC;Мотопомпа бензиновая HND WP 30 XC;++
;WP40X2C;Мотопомпа бензиновая HND WP 40 X2C;+
;WP40X3C;Мотопомпа бензиновая HND WP 40 X3C;наличие уточняйте
;WP60XC;Мотопомпа бензиновая HND WP 60 XC;наличие уточняйте
;WP30XT;Мотопомпа бензиновая HND WP 30 XT;наличие уточняйте
;WP40XT;Мотопомпа бензиновая HND WP 40 XT;наличие уточняйте
;WP20XСH;Мотопомпа бензиновая HND WP 20 XСH;++
;++  - много;;
;+    - мало;;
;(поставка 2-3 дня) - наличие на дальнем складе, перемещение 2-3 дня после оплаты;;
;ОЖИДАЕТСЯ - нет в наличии, ждем поставку;;
;;;
;8.086.0077C;Аппарат (мойка) высокого давления электрический Lavor Galaxy 140;++
;8.086.0083C;Аппарат (мойка) высокого давления электрический Lavor Galaxy 140 в комплекте T-Racer;ожидается
;8.086.0075C;Аппарат (мойка) высокого давления электрический Lavor Galaxy 150;++
;8.086.0076C;Аппарат (мойка) высокого давления электрический Lavor Galaxy 160;++
;8.108.0001C;Аппарат (мойка) высокого давления электрический Lavor Ikon 140;++
;8.108.0006C;Аппарат (мойка) высокого давления электрический Lavor Ikon 160;++
;8.108.0021C;Аппарат (мойка) высокого давления электрический Lavor Ikon 200 EXTREME НОВИНКА;++
;8.103.0001C;Аппарат (мойка) высокого давления электрический Lavor One 120;++
;8.103.0008C;Аппарат (мойка) высокого давления электрический Lavor One Extra 135;++
;8.103.0005C;Аппарат (мойка) высокого давления электрический Lavor One Plus 130;++
;8.101.0024C;Аппарат (мойка) высокого давления электрический Lavor PREDATOR 180 DIGIT;++
;8.047.0001C;Аппарат (мойка) высокого давления электрический Lavor Vertigo 22;++
;8.047.0068C;Аппарат (мойка) высокого давления электрический Lavor Vertigo 28 Pro (Шланг 10 м., Проф. акс-ры);++
;8.601.0148C;Аппарат (мойка) высокого давления бензиновый Lavor Independent 2800;++
;8.101.0017C;Аппарат (мойка) высокого давления электрический Lavor PREDATOR 160 WPS;ожидается
;8.047.0003C;Аппарат (мойка) высокого давления электрический Lavor Vertigo 28;++
;8.601.0202C;Аппарат (мойка) высокого давления бензиновый Lavor LANDER 3000;ожидается
;ПЫЛЕВОДОСОСЫ, КОВРОВЫЕ ЭКСТРАКТОРЫ И ПАРОГЕНЕРАТОРЫ LAVOR;;
;8.243.0003;Пылеводосос бытовой электрический Lavor FREDDY 4 in1 ;++
;8.243.0002;Пылеводосос бытовой электрический Lavor VAC 20 S ;ожидается
;8.228.0082;Пылеводосос бытовой электрический Lavor CF 30EM;ожидается
;8.227.0005;Пылеводосос электрический Lavor SWIMMY (универсальный + пылеводосос для бассейнов);+
